"No.","Quantity","Comment","Designator","Footprint","Value","LCSC Price"
"1","1","0.1uf","C8","C0805","0.1uf","0.0596"
"2","1","10nF","C2","C0805","10nF","0.0596"
"3","1","100nF","C1","C0805","100nF","0.0596"
"4","1","330E","R12","R0805_NEW","330E","0.0596"
"5","1","blue","LED1","LED0805-R-RD_BLUE","",""
"6","1","CH340C","U10","SOP-16_L10.0-W3.9-P1.27-LS6.0-BL","",""
"7","1","DHT11","H1","HDR-TH_4P-P2.54-V-M_146458-4","",""
"8","1","ESP32-WROOM-32D","U12","WIFIM-SMD_ESP32-WROOM-32D","",""
"9","1","HT7833","U11","SOT-89_L4.5-W2.5-P1.50-LS4.2-BR","",""
"10","1","MX128-5.0-06P-GN01-Cu-Y-A","U13","CONN-TH_6P-P5.00_MX128-5.0-06P-GN01-CU-Y-A","",""
"11","1","S6B-XH-A-GU","CN1","CONN-TH_S6B-XH-A","",""
"12","1","TSOP1738_TSOP1738","U9","TSOP1738:TSOP17XX","TSOP1738","0.0596"
"13","1","TYPE-C-31-M-12","USBC1","USB-C_SMD-TYPE-C-31-M-12_1","",""
"14","1","ULN2003LVDR","U1","SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL","",""
"15","2","0.1uF","C5,C7","C0805","0.1uF","0.0596"
"16","2","2.2Ω","R22,R23","RES-TH_BD2.2-L6.5-P10.50-D0.6","2.2Ω",""
"17","2","220kΩ","R14,R15","RES-TH_BD4.5-L11.0-P15.00-D0.7","220kΩ",""
"18","2","BC846B","Q5,Q6","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","",""
"19","2","Cap tht","C9,C10","Cap tht","","0.0596"
"20","2","TSA010A2518A","SW1,SW2","SW-SMD_L4.0-W3.0-LS5.0","",""
"21","3","5.1k","R8,R9,R19","R0805_NEW","5.1k","0.0596"
"22","3","10uF","C3,C4,C6","C0805","10uF","0.0596"
"23","4","10K","R7,R13,R20,R21","R0805_NEW","10K","0.0596"
"24","4","LED_0402-R","LED2,LED3,LED4,LED6","LED0805-RD_GREEN_C0805YGC","","0.0596"
"25","5","330","R5,R6,R10,R11,R25","R0805_NEW","330","0.0596"
"26","7","1k","R1,R2,R3,R4,R16,R17,R18","R0805_NEW","",""
"27","7","1N4007W","D1,D2,D3,D4,D5,D6,D7","SOD-123_L2.8-W1.8-LS3.7-RD","",""
"28","7","2N3904(SOT-23)","Q1,Q2,Q3,Q4,Q7,Q8,Q9","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR","",""
"29","7","IR333-A","U2,U3,U4,U5,U6,U7,U8","LED-TH_BD6.2-P2.54-FD","",""
"30","7","SRD-05VDC-SL-C","RLY1,RLY2,RLY3,RLY4,RLY5,RLY6,RLY7","RELAY-TH_SRD-XXVDC-XL-C","",""
