"Designator","Device","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Pins","Layer","Rotation","SMD","Comment","Name"
"U9","TSOP1738_TSOP1738","TSOP1738:TSOP17XX","-31.242mm","38.724mm","-31.242mm","38.724mm","-31.242mm","42.534mm","3","T","270","No","TSOP1738_TSOP1738","TSOP1738_TSOP1738"
"U11","HT7833_C50936","SOT-89_L4.5-W2.5-P1.50-LS4.2-BR","-30.792mm","-19.818mm","-30.792mm","-19.818mm","-29.436mm","-21.318mm","3","T","0","Yes","HT7833","HT7833"
"USBC1","TYPE-C-31-M-12","USB-C_SMD-TYPE-C-31-M-12_1","-30.01mm","-6.202mm","-30.01mm","-6.202mm","-28.305mm","-10.527mm","16","T","270","No","TYPE-C-31-M-12","TYPE-C-31-M-12"
"C4","CAP_0603","C0805","-27.461mm","-16.175mm","-27.461mm","-16.175mm","-27.461mm","-17.175mm","2","T","90","Yes","10uF","10uF"
"C5","CAP_0603","C0805","-27.265mm","-20.74mm","-27.265mm","-20.74mm","-27.265mm","-19.74mm","2","T","270","Yes","0.1uF","0.1uF"
"C6","CAP_0603","C0805","-25.38mm","-16.237mm","-25.38mm","-16.237mm","-25.38mm","-17.237mm","2","T","90","Yes","10uF","10uF"
"C3","CAP_0603","C0805","-25.168mm","-20.689mm","-25.168mm","-20.689mm","-25.168mm","-19.689mm","2","T","270","Yes","10uF","10uF"
"C7","CAP_0603","C0805","-23.27mm","-16.302mm","-23.27mm","-16.302mm","-23.27mm","-17.302mm","2","T","90","Yes","0.1uF","0.1uF"
"LED3","LED_0402-R","LED0805-RD_GREEN_C0805YGC","-22.987mm","-20.701mm","-22.987mm","-20.701mm","-22.987mm","-19.701mm","2","T","90","Yes","LED_0402-R","LED_0402-R"
"C8","CAP_0603","C0805","-23.368mm","-3.683mm","-23.368mm","-3.683mm","-24.368mm","-3.683mm","2","T","0","Yes","0.1uf","0.1uf"
"R9","Res_0603","R0805_NEW","-23.368mm","-7.62mm","-23.368mm","-7.62mm","-22.402mm","-7.62mm","2","T","180","Yes","5.1k","5.1k"
"R8","Res_0603","R0805_NEW","-23.368mm","-5.588mm","-23.368mm","-5.588mm","-22.402mm","-5.588mm","2","T","180","Yes","5.1k","5.1k"
"R12","Res_0603","R0805_NEW","-21.14mm","-16.389mm","-21.14mm","-16.389mm","-21.14mm","-17.355mm","2","T","90","Yes","330E","330E"
"LED2","LED_0402-R","LED0805-RD_GREEN_C0805YGC","-18.288mm","18.415mm","-18.288mm","18.415mm","-17.288mm","18.415mm","2","T","0","Yes","LED_0402-R","LED_0402-R"
"LED4","LED_0402-R","LED0805-RD_GREEN_C0805YGC","-18.078mm","15.985mm","-18.078mm","15.985mm","-17.078mm","15.985mm","2","T","0","Yes","LED_0402-R","LED_0402-R"
"U10","CH340C","SOP-16_L10.0-W3.9-P1.27-LS6.0-BL","-16.383mm","9.514mm","-16.383mm","9.514mm","-20.828mm","6.641mm","16","T","0","Yes","CH340C","CH340C"
"C2","CAP_0603","C0805","-15.494mm","3.683mm","-15.494mm","3.683mm","-16.494mm","3.683mm","2","T","0","Yes","10nF","10nF"
"RLY7","SRD-05VDC-SL-C","RELAY-TH_SRD-XXVDC-XL-C","-18.923mm","-38.227mm","-18.923mm","-38.227mm","-24.923mm","-33.127mm","5","T","270","No","SRD-05VDC-SL-C","SRD-05VDC-SL-C"
"U12","ESP32-WROOM-32D","WIFIM-SMD_ESP32-WROOM-32D","-14.478mm","39.486mm","-14.478mm","39.486mm","-23.478mm","48.501mm","39","T","270","Yes","ESP32-WROOM-32D","ESP32-WROOM-32D"
"R10","Res_0603","R0805_NEW","-14.224mm","18.415mm","-14.224mm","18.415mm","-15.19mm","18.415mm","2","T","0","Yes","330","330"
